CompetitorId,Back Squat,Clean and Jerk,Snatch,Deadlift,Fran,Grace,Helen,Filthy 50,Sprint 400m,Run 5k,Fight Gone Bad,Max Pull-ups,L1 Benchmark
1058893,118 kg,85 kg,69 kg,153 kg,--,1:58,--,--,--,23:54,--,25,
1963612,--,--,--,--,--,--,--,--,--,--,--,--,
1065005,--,--,--,--,--,--,--,--,--,--,--,--,
1929278,--,--,--,--,--,--,--,--,--,--,--,--,
475177,250 lb,215 lb,165 lb,330 lb,--,2:28,10:40,--,--,--,--,--,
1334213,--,--,--,--,--,--,--,--,--,--,--,--,
1690929,--,--,--,--,--,--,--,--,--,--,--,--,
1303756,--,--,--,--,--,--,--,--,--,--,--,--,
1100642,255 lb,210 lb,165 lb,315 lb,3:33,2:38,8:58,--,--,--,394,40,
454329,140 kg,114 kg,86 kg,150 kg,--,--,--,--,--,--,--,--,
819474,325 lb,235 lb,160 lb,325 lb,3:52,1:48,11:42,--,--,--,340,50,
785287,118 kg,90 kg,63 kg,145 kg,--,1:51,--,--,1:39,--,--,25,
624562,--,--,--,--,--,--,--,--,--,--,--,--,
417303,--,--,--,--,--,--,--,--,--,--,--,--,
738972,270 lb,195 lb,155 lb,265 lb,--,3:10,9:17,--,--,--,--,--,
1234557,105 kg,75 kg,60 kg,120 kg,--,--,--,--,--,--,--,--,
1783020,240 lb,175 lb,140 lb,235 lb,3:39,--,--,22:41,--,23:32,--,14,
736816,--,--,--,--,--,--,--,--,--,--,--,--,
737666,285 lb,205 lb,155 lb,305 lb,--,--,--,--,--,--,--,--,
672526,--,--,--,--,--,--,--,--,--,--,--,--,
233333,255 lb,175 lb,130 lb,285 lb,--,--,--,17:43,0:58,21:02,387,38,
872191,250 lb,195 lb,150 lb,320 lb,3:45,--,--,--,--,22:30,--,--,
491747,--,--,--,--,--,--,--,--,--,--,--,--,
12969,225 lb,175 lb,145 lb,265 lb,3:00,2:50,8:46,22:04,--,--,353,50,
1593715,245 lb,175 lb,130 lb,315 lb,3:40,1:59,--,--,--,21:43,--,25,
1212617,--,--,--,--,--,--,--,--,--,--,--,--,
866124,--,--,--,--,--,--,--,--,--,--,--,--,
276949,--,--,--,--,--,--,--,--,--,--,--,--,
1877852,273 lb,185 lb,133 lb,315 lb,--,--,--,--,--,--,--,--,
107639,--,--,--,--,--,--,--,--,--,--,--,--,
1650146,340 lb,240 lb,200 lb,315 lb,1:58,--,--,--,--,--,--,--,
333653,280 lb,220 lb,190 lb,305 lb,2:14,1:42,8:19,23:04,1:29,23:29,300,--,
1008628,240 lb,205 lb,165 lb,305 lb,2:37,1:45,8:58,19:30,1:18,25:45,422,52,
1127236,--,--,--,--,--,--,--,--,--,--,--,--,
128553,325 lb,235 lb,175 lb,355 lb,3:20,--,--,--,--,--,--,--,
11460,325 lb,235 lb,185 lb,400 lb,2:34,--,7:53,--,--,--,--,--,
926422,--,--,--,--,--,--,--,--,--,--,--,--,
380969,--,--,--,--,--,--,--,--,--,--,--,--,
2184972,112 kg,80 kg,68 kg,115 kg,--,--,--,--,--,--,--,--,
668260,--,--,--,--,--,--,--,--,--,--,--,--,
1558558,--,--,--,--,--,--,--,--,--,--,--,--,
1537423,245 lb,190 lb,135 lb,300 lb,2:57,2:08,8:00,--,--,--,347,30,
1271234,--,--,--,--,--,--,--,--,--,--,--,--,
1296146,--,--,--,--,--,--,--,--,--,--,--,--,
455569,315 lb,223 lb,180 lb,345 lb,--,--,--,--,--,--,--,--,
1086096,--,--,--,--,--,--,--,--,--,--,--,--,
1227996,132 kg,90 kg,65 kg,170 kg,4:30,--,9:35,--,--,--,--,--,--
115186,130 kg,93 kg,73 kg,150 kg,2:47,--,--,--,--,--,--,--,
477824,--,--,--,--,--,--,--,--,--,--,--,--,
322327,--,--,--,--,--,--,--,--,--,--,--,--,
925009,280 lb,191 lb,145 lb,304 lb,--,--,--,--,--,22:00,--,--,
1938167,--,--,--,--,--,--,--,--,--,--,--,--,
1099709,--,--,--,--,--,--,--,--,--,--,--,--,
1093794,--,--,--,--,--,--,--,--,--,--,--,--,
1953113,265 lb,200 lb,170 lb,290 lb,--,--,--,--,--,--,--,--,
53780,295 lb,225 lb,180 lb,335 lb,3:37,1:44,8:19,--,--,--,309,38,
143202,265 lb,210 lb,165 lb,305 lb,--,--,--,--,--,--,--,50,
896543,130 kg,95 kg,75 kg,167 kg,4:08,--,--,--,--,--,--,--,
997101,--,--,--,--,--,--,--,--,--,--,--,--,
1371416,115 kg,78 kg,60 kg,120 kg,4:04,2:29,--,--,2:00,--,--,15,
298814,--,--,--,--,--,--,--,--,--,--,--,--,
562606,--,--,--,--,--,--,--,--,--,--,--,--,
1863478,255 lb,205 lb,180 lb,320 lb,--,--,--,--,--,--,--,--,
221376,200 lb,145 lb,125 lb,250 lb,--,--,--,--,--,--,--,--,
1929685,310 lb,--,175 lb,320 lb,--,--,--,--,--,--,--,--,
445062,275 lb,235 lb,180 lb,335 lb,2:58,--,--,--,--,25:24,--,--,
1455592,285 lb,187 lb,130 lb,315 lb,--,--,--,--,--,26:30,--,--,
1262520,280 lb,205 lb,165 lb,350 lb,7:39,--,--,--,1:00,--,--,22,
787018,260 lb,205 lb,--,--,--,--,--,--,--,--,--,--,
1594555,245 lb,176 lb,148 lb,287 lb,5:14,10:28,--,22:56,--,25:45,340,--,
1060252,--,--,--,--,--,--,--,--,--,--,--,--,
1045638,--,--,--,--,--,--,--,--,--,--,--,--,
1553177,145 kg,95 kg,72 kg,135 kg,2:30,--,--,--,--,--,--,--,
720355,--,--,--,--,--,--,--,--,--,--,--,--,
44457,270 lb,200 lb,150 lb,310 lb,2:35,--,--,--,--,--,--,50,
907696,123 kg,100 kg,84 kg,130 kg,2:38,2:26,--,--,--,--,--,47,
1243255,120 kg,90 kg,62 kg,150 kg,--,--,--,--,--,--,--,--,
1768057,--,--,--,--,--,--,--,--,--,--,--,--,
486322,285 lb,195 lb,125 lb,315 lb,2:32,2:24,9:24,21:20,--,21:54,362,43,
817717,--,--,--,--,--,--,--,--,--,--,--,--,
1036841,270 lb,205 lb,150 lb,--,--,--,--,--,--,--,--,--,
564618,225 lb,145 lb,115 lb,245 lb,--,--,--,--,--,27:00,--,25,
1641019,--,--,--,--,--,--,--,--,--,--,--,--,
1025333,--,--,--,--,--,--,--,--,--,--,--,--,
728741,105 kg,90 kg,72 kg,130 kg,4:24,--,--,20:46,1:15,25:00,--,27,
254336,--,--,--,--,--,--,--,--,--,--,393,--,
279829,225 lb,180 lb,152 lb,265 lb,--,--,--,--,--,--,--,--,
1022694,265 lb,200 lb,155 lb,300 lb,2:56,1:52,8:45,--,--,--,--,--,
1648243,195 lb,155 lb,135 lb,240 lb,4:07,2:42,--,--,--,--,--,--,
57509,245 lb,200 lb,150 lb,325 lb,3:04,1:38,8:43,20:20,--,26:12,394,30,
1658355,105 kg,83 kg,70 kg,235 kg,2:40,--,--,--,--,--,--,--,
12917,265 lb,200 lb,155 lb,300 lb,3:11,1:47,9:36,--,1:18,23:08,359,36,--
4376,--,--,--,--,--,--,--,--,--,--,--,--,
405845,150 kg,85 kg,70 kg,155 kg,--,--,--,--,--,--,--,--,
1310936,135 kg,100 kg,85 kg,170 kg,--,--,--,--,1:08,--,--,--,
995721,--,--,--,--,--,--,--,--,--,--,--,--,
1223488,--,--,--,--,--,--,--,--,--,--,--,--,
1596014,255 lb,175 lb,140 lb,350 lb,--,--,--,--,--,--,--,--,
289953,310 lb,205 lb,165 lb,335 lb,--,--,--,--,--,--,--,--,
6793,--,175 lb,130 lb,--,3:17,--,--,--,--,--,--,42,
1988481,--,--,--,--,--,--,--,--,--,--,--,--,
3278,200 lb,195 lb,147 lb,290 lb,2:39,2:05,8:01,19:10,1:14,--,--,42,
1590926,315 lb,250 lb,190 lb,340 lb,--,--,--,--,--,--,--,--,
106476,135 kg,105 kg,80 kg,160 kg,--,1:28,--,--,--,26:00,--,--,--
1889371,120 kg,93 kg,70 kg,120 kg,--,--,--,--,--,--,--,--,
1246243,295 lb,240 lb,180 lb,320 lb,3:30,1:55,--,--,1:11,24:00,--,--,
707534,--,--,--,--,--,--,--,--,--,--,--,--,
1097938,--,--,--,--,--,--,--,--,--,--,--,--,
324360,100 kg,65 kg,45 kg,125 kg,4:38,--,--,--,1:15,25:00,--,--,
8342,310 lb,205 lb,165 lb,315 lb,2:39,--,8:33,--,--,--,356,35,
621153,285 lb,225 lb,165 lb,295 lb,3:47,2:48,--,--,1:22,28:16,329,37,
998694,135 kg,106 kg,90 kg,165 kg,--,--,--,--,--,--,--,--,
121380,240 lb,200 lb,175 lb,285 lb,2:48,1:54,9:11,--,--,--,--,40,
980602,--,--,--,--,--,--,--,--,--,--,--,--,--
1151288,--,--,--,--,--,--,--,--,--,--,--,--,
1914655,145 kg,110 kg,92 kg,--,--,--,--,--,--,--,--,--,
259327,310 lb,200 lb,150 lb,340 lb,2:24,1:52,7:53,17:46,--,--,383,70,
756713,--,--,--,--,--,--,--,--,--,--,--,--,
962996,--,--,--,--,--,--,--,--,--,--,--,--,
1216574,260 lb,215 lb,165 lb,375 lb,3:26,1:46,9:54,25:15,1:43,27:58,403,20,--
771396,--,--,--,--,--,--,--,--,--,--,--,--,
1411817,--,--,--,--,--,--,--,--,--,--,--,--,
448429,--,--,--,--,--,--,--,--,--,--,--,--,
669100,335 lb,255 lb,205 lb,405 lb,--,--,--,--,--,--,--,--,
731338,--,--,--,--,--,--,--,--,--,--,--,--,
1090715,270 lb,200 lb,146 lb,330 lb,3:34,2:30,10:27,--,--,--,--,--,
1670004,--,--,--,--,--,--,--,--,--,--,--,--,
449414,265 lb,215 lb,180 lb,330 lb,2:46,1:51,--,--,--,--,--,--,
1921122,--,--,--,--,--,--,--,--,--,--,--,--,
95983,120 kg,85 kg,65 kg,130 kg,2:53,2:53,--,--,--,--,--,32,
1873541,--,--,--,--,--,--,--,--,--,--,--,--,
476009,--,--,--,--,--,--,--,--,--,--,--,--,
1309639,--,--,--,--,--,--,--,--,--,--,--,--,
57430,290 lb,235 lb,190 lb,350 lb,2:26,1:32,--,--,0:54,24:00,--,65,
935009,--,--,--,--,--,--,--,--,--,--,--,--,
46877,--,--,--,--,--,--,--,--,--,--,--,--,
952331,--,--,--,--,--,--,--,--,--,--,--,--,
1101611,--,--,--,--,--,--,--,--,--,--,--,--,
643464,--,--,--,--,--,--,--,--,--,--,--,--,
1549923,215 lb,185 lb,160 lb,305 lb,--,--,--,--,--,--,--,--,
537634,125 kg,95 kg,70 kg,150 kg,--,--,--,--,--,--,--,--,
206409,298 lb,213 lb,148 lb,348 lb,2:54,1:48,8:54,--,--,--,351,--,
877885,--,--,--,--,--,--,--,--,--,--,--,--,
1828743,255 lb,186 lb,142 lb,320 lb,4:02,--,--,--,--,26:30,--,--,
1557815,90 kg,63 kg,43 kg,115 kg,--,--,--,--,--,23:34,--,--,
1507976,85 kg,63 kg,53 kg,130 kg,--,--,--,--,--,--,--,--,
605296,150 kg,110 kg,83 kg,200 kg,3:20,1:46,9:00,--,1:10,22:00,321,--,
1175866,--,--,--,--,--,--,--,--,--,--,--,--,
43782,325 lb,235 lb,175 lb,350 lb,2:24,--,--,--,--,21:30,--,--,
1595117,235 lb,180 lb,145 lb,280 lb,2:27,2:19,8:10,18:47,--,--,--,--,
118462,240 lb,185 lb,140 lb,270 lb,3:36,2:32,--,--,--,--,--,--,
8770,270 lb,206 lb,165 lb,385 lb,2:35,2:13,8:27,17:33,1:08,22:56,377,45,
1349691,110 kg,88 kg,63 kg,140 kg,--,--,--,--,--,--,--,--,
1336663,,,,,,,,,,,,,
448355,225 lb,185 lb,145 lb,235 lb,2:28,2:13,--,--,--,--,--,50,
925319,--,--,--,--,--,--,--,--,--,--,--,--,
1649482,--,--,--,--,--,--,--,--,--,--,--,--,
45940,304 lb,238 lb,189 lb,340 lb,2:21,2:12,7:45,--,1:05,23:00,--,52,
102299,120 kg,90 kg,75 kg,135 kg,3:45,2:30,--,20:16,1:11,28:00,--,40,
561649,185 lb,145 lb,95 lb,245 lb,--,--,--,--,--,--,--,--,
368679,265 lb,185 lb,145 lb,301 lb,--,--,--,--,--,--,--,--,
1355700,--,--,--,--,--,--,--,--,--,--,--,--,
1693545,265 lb,200 lb,165 lb,285 lb,2:24,--,--,--,1:10,--,--,--,
1260786,--,--,--,--,--,--,--,--,--,--,--,--,
882190,118 kg,92 kg,65 kg,152 kg,--,--,--,--,--,--,--,--,
991003,--,--,--,--,--,--,--,--,--,--,--,--,
754689,260 lb,205 lb,160 lb,290 lb,2:50,--,8:26,--,--,21:45,--,--,
964656,295 lb,185 lb,125 lb,--,--,--,--,--,--,--,--,--,
1076868,--,--,--,--,--,--,--,--,--,--,--,--,
263836,330 lb,245 lb,198 lb,400 lb,3:48,2:09,--,--,1:17,26:54,--,--,
662711,275 lb,220 lb,185 lb,300 lb,3:02,--,--,--,--,22:44,--,35,
1029030,--,--,--,--,--,--,--,--,--,--,--,--,
1858650,--,90 kg,71 kg,--,--,2:30,--,--,--,22:30,--,36,
1010356,295 lb,220 lb,175 lb,335 lb,--,--,--,--,--,--,--,--,
2071671,111 kg,87 kg,72 kg,136 kg,--,--,--,--,--,22:44,--,--,
2288169,255 lb,190 lb,135 lb,335 lb,--,--,--,--,--,--,--,--,
909448,--,--,--,--,--,--,--,--,--,--,--,--,
472166,--,--,--,--,--,--,--,--,--,--,--,--,
668384,100 kg,90 kg,70 kg,--,3:36,--,9:55,--,--,--,--,--,
1631539,--,--,--,--,--,--,--,--,--,--,--,--,
1282147,--,--,--,--,--,--,--,--,--,--,--,--,
6659,305 lb,225 lb,162 lb,370 lb,3:20,1:32,9:02,--,--,--,--,45,
1667629,--,--,--,--,--,--,--,--,--,--,--,--,
1778434,235 lb,165 lb,130 lb,305 lb,3:24,2:02,--,--,--,--,--,--,
265038,325 lb,235 lb,185 lb,330 lb,--,--,--,--,--,--,--,--,
1040963,325 lb,227 lb,175 lb,375 lb,2:13,1:45,--,--,--,--,408,--,
1290734,--,--,--,--,--,--,--,--,--,--,--,--,
2165961,--,--,--,--,--,--,--,--,--,--,--,--,
1862086,--,--,--,--,--,--,--,--,--,--,--,--,
1279476,255 lb,200 lb,140 lb,290 lb,2:33,2:00,8:21,18:12,--,22:09,305,36,
1329505,--,--,--,--,--,--,--,--,--,--,--,--,
1612044,200 lb,135 lb,90 lb,200 lb,--,3:07,--,--,--,--,--,--,
624711,--,--,--,--,--,--,--,--,--,--,--,--,
845677,--,--,--,--,--,--,--,--,--,--,--,--,
1973833,287 lb,225 lb,177 lb,330 lb,--,1:45,--,--,--,--,--,--,
137641,--,--,--,--,--,--,--,--,--,--,--,--,
111596,121 kg,100 kg,70 kg,141 kg,--,--,--,--,--,--,--,--,
1647786,--,--,--,--,--,--,--,--,--,--,--,--,
1727761,--,--,--,140 kg,6:43,--,--,--,--,--,--,--,
1578477,265 lb,195 lb,155 lb,285 lb,2:31,--,--,--,--,--,--,--,
240101,290 lb,220 lb,185 lb,300 lb,--,--,--,--,--,--,--,--,
253752,265 lb,225 lb,150 lb,340 lb,4:47,3:03,9:48,26:55,1:24,30:00,272,51,
1008764,--,--,--,--,--,--,--,--,--,--,--,--,
47755,115 kg,85 kg,65 kg,145 kg,3:19,1:46,8:38,22:07,1:15,25:00,373,--,
82082,305 lb,210 lb,165 lb,345 lb,2:52,2:12,7:58,--,1:00,19:40,--,--,
835023,275 lb,205 lb,160 lb,280 lb,2:45,5:00,--,--,1:25,--,--,--,
313237,320 lb,245 lb,175 lb,376 lb,2:30,1:17,8:27,18:37,--,--,407,--,
72101,--,--,--,--,--,--,--,--,1:08,--,--,--,
30324,--,--,--,--,--,--,--,--,--,--,--,--,
728809,--,--,--,--,--,--,--,--,--,--,--,--,
774154,--,--,--,--,--,--,--,--,--,--,--,--,
1961652,--,--,--,--,--,--,--,--,--,--,--,--,
1027963,265 lb,220 lb,175 lb,329 lb,2:27,2:05,9:23,--,--,24:56,--,--,
1205691,--,--,--,--,--,--,--,--,--,--,--,--,
967964,--,--,--,--,--,--,--,--,--,--,--,--,
960448,280 lb,215 lb,168 lb,400 lb,2:45,2:24,11:40,--,--,--,--,50,
190439,120 kg,93 kg,75 kg,140 kg,2:55,--,9:27,--,--,32:59,--,40,
731666,--,--,--,--,--,--,--,--,--,--,--,--,
1615030,245 lb,155 lb,145 lb,315 lb,--,3:18,--,--,--,22:29,--,--,
1939058,--,--,--,--,--,--,--,--,--,--,--,--,
992837,257 lb,210 lb,160 lb,257 lb,2:56,2:39,--,--,--,--,--,--,
739469,105 kg,90 kg,70 kg,125 kg,--,--,--,--,--,--,--,25,
1756135,--,--,--,--,--,--,--,--,--,--,--,--,
1858170,100 kg,88 kg,65 kg,130 kg,--,--,--,--,--,--,--,--,
1951056,--,--,--,--,--,--,--,--,--,--,--,--,
1113781,--,--,--,--,--,--,--,--,--,--,--,--,
293089,280 lb,230 lb,180 lb,350 lb,--,--,--,--,--,17:20,--,--,
104589,265 lb,215 lb,175 lb,300 lb,--,--,--,--,--,--,--,51,
520438,110 kg,80 kg,65 kg,130 kg,2:48,--,--,--,1:00,22:00,--,--,
240416,265 lb,185 lb,140 lb,315 lb,2:37,2:13,9:13,--,1:19,--,--,40,
5474,--,--,--,--,--,--,--,--,--,--,--,--,
687027,265 lb,210 lb,145 lb,300 lb,2:59,2:52,8:53,--,--,22:46,--,12,
800054,--,--,--,--,--,--,--,--,--,--,--,--,
1937470,--,--,--,--,--,--,--,--,--,--,--,--,
68700,--,--,--,--,--,--,--,--,--,--,--,--,
1555339,--,--,--,--,--,--,--,--,0:58,18:00,--,--,
1164081,260 lb,215 lb,160 lb,300 lb,--,--,--,--,--,--,--,--,
133671,330 lb,230 lb,173 lb,392 lb,2:20,2:34,8:16,22:10,1:12,22:31,315,46,
268973,230 lb,165 lb,135 lb,295 lb,2:53,2:27,9:09,--,--,--,--,--,
879148,116 kg,91 kg,70 kg,130 kg,6:37,3:49,--,--,--,--,--,--,
1283870,75 kg,--,--,100 kg,--,--,--,--,--,--,--,--,
1330137,--,--,--,--,--,--,--,--,--,--,--,--,
717010,--,--,--,--,--,1:56,--,--,--,30:00,--,--,--
9582,103 kg,80 kg,60 kg,150 kg,3:54,1:49,--,22:30,1:24,21:34,--,40,
683253,285 lb,198 lb,150 lb,310 lb,2:29,2:06,8:26,22:58,1:29,23:13,336,--,
126725,--,--,--,--,--,--,--,--,--,--,--,--,
494205,--,--,--,--,--,--,--,--,--,--,--,--,
1991114,--,--,--,--,--,--,--,--,--,--,--,--,
257824,270 lb,235 lb,170 lb,315 lb,2:37,1:50,--,--,--,--,--,--,
475594,260 lb,195 lb,155 lb,300 lb,3:41,1:51,--,--,--,--,--,25,
511185,--,--,--,--,--,--,--,--,--,--,--,--,
1260878,90 kg,65 kg,50 kg,120 kg,--,--,10:54,--,--,20:15,--,--,
113068,275 lb,210 lb,160 lb,290 lb,2:14,--,8:58,19:12,1:04,22:23,--,60,
732268,105 kg,85 kg,65 kg,150 kg,4:18,--,10:24,--,--,--,344,--,
254551,107 kg,94 kg,81 kg,160 lb,2:54,1:29,--,--,1:15,27:12,--,31,--
156150,--,--,--,--,--,--,--,--,--,--,--,--,
315669,105 kg,77 kg,61 kg,120 kg,3:47,2:14,--,--,1:09,--,--,28,
1806931,--,--,--,--,--,--,--,--,--,--,--,--,
40284,230 lb,175 lb,135 lb,--,2:59,3:34,--,--,--,--,--,47,
151087,270 lb,205 lb,175 lb,340 lb,2:46,2:01,--,--,--,--,--,15,
456604,110 kg,93 kg,65 kg,245 lb,3:40,--,--,--,--,--,--,--,
1206624,--,--,--,--,--,--,--,--,--,--,--,--,
2115095,305 lb,230 lb,175 lb,340 lb,--,--,--,--,--,--,--,--,--
484998,100 kg,85 kg,68 kg,150 kg,--,--,--,--,--,--,--,--,
237033,135 kg,102 kg,81 kg,155 kg,3:13,2:45,--,--,1:38,--,--,28,
925846,--,--,--,--,--,--,--,--,--,--,--,--,
700227,--,--,--,--,--,--,--,--,--,--,--,--,
465888,115 kg,87 kg,63 kg,130 kg,--,--,--,--,--,--,--,--,
1239045,--,--,--,--,--,--,--,--,--,--,--,--,
105062,225 lb,185 lb,130 lb,305 lb,--,--,--,--,--,--,--,--,
373541,--,--,--,--,--,--,--,--,--,--,--,--,
665827,--,--,--,--,--,--,--,--,--,--,--,--,
781002,--,--,--,--,--,--,--,--,--,--,--,--,
2165398,--,--,--,--,--,--,--,--,--,--,--,--,
1541149,--,--,--,--,--,--,--,--,--,--,--,--,
537919,105 kg,85 kg,65 kg,130 kg,3:41,--,--,--,--,--,--,25,
1280595,200 lb,165 lb,135 lb,300 lb,--,--,--,--,1:37,20:59,--,25,
15241,255 lb,185 lb,140 lb,315 lb,4:14,2:16,--,21:15,--,--,408,--,
911506,130 kg,98 kg,75 kg,140 kg,--,--,--,--,--,--,--,--,
675169,--,--,--,--,--,--,--,--,--,--,--,--,
1062620,--,--,--,--,--,--,--,--,--,--,--,--,
678478,--,--,--,--,--,--,--,--,--,--,--,--,
933047,147 kg,100 kg,68 kg,170 kg,--,1:47,--,--,--,24:42,382,--,
585539,--,--,--,--,--,--,--,--,--,--,--,--,
478706,285 lb,215 lb,155 lb,375 lb,--,--,--,--,--,--,--,--,
1267469,130 kg,85 kg,70 kg,140 kg,--,--,--,--,1:30,30:00,--,24,
120538,100 kg,80 kg,60 kg,160 kg,--,--,--,--,--,--,--,--,
246547,275 lb,190 lb,160 lb,310 lb,2:42,2:49,--,--,--,--,--,--,
1013044,--,--,--,--,--,--,--,--,--,--,--,--,
872637,--,--,--,--,--,--,--,--,--,--,--,--,--
1877410,125 kg,87 kg,73 kg,--,--,--,--,--,--,--,--,--,
1253343,135 kg,102 kg,77 kg,150 kg,--,--,--,--,--,23:20,--,18,
891907,--,--,--,--,--,--,--,--,--,--,--,--,
1590013,--,--,--,--,--,--,--,--,--,--,--,--,
474026,235 lb,165 lb,130 lb,300 lb,3:54,2:25,8:45,--,--,--,--,--,
890988,--,--,--,--,6:43,2:29,--,--,--,--,--,--,
571461,275 lb,205 lb,145 lb,--,--,--,--,--,--,--,--,55,
621631,240 lb,195 lb,140 lb,290 lb,--,3:32,8:31,--,--,--,--,--,
1638810,--,--,--,--,--,--,--,--,--,--,--,--,
1220583,240 lb,185 lb,150 lb,--,2:11,--,--,--,--,--,--,60,
1732584,280 lb,215 lb,175 lb,340 lb,3:28,1:43,--,--,1:20,--,--,--,
1733853,265 lb,220 lb,160 lb,325 lb,--,--,--,--,--,--,--,--,
965033,270 lb,170 lb,125 lb,310 lb,2:08,--,--,--,--,--,413,--,
143638,--,--,--,--,--,--,--,--,--,--,--,--,
1022965,--,--,--,--,--,--,--,--,--,--,--,--,
451979,310 lb,205 lb,155 lb,350 lb,2:38,2:12,7:55,--,--,--,--,37,
623116,185 lb,170 lb,145 lb,275 lb,3:00,2:30,--,--,1:10,21:00,--,30,
497447,340 lb,230 lb,205 lb,340 lb,3:23,1:02,--,21:40,--,--,385,--,
65649,242 lb,176 lb,143 lb,275 lb,2:32,--,10:38,19:59,1:23,--,--,--,
1030062,325 lb,252 lb,200 lb,335 lb,--,--,--,--,--,--,--,--,
149643,190 lb,165 lb,120 lb,245 lb,3:57,2:47,9:03,24:06,1:09,--,312,37,
493706,265 lb,205 lb,155 lb,305 lb,2:48,--,--,--,--,--,--,30,
516642,--,--,--,--,--,--,--,--,--,--,--,--,
781406,235 lb,185 lb,160 lb,280 lb,--,4:26,--,--,1:16,24:08,--,--,
508522,--,--,--,--,--,--,--,--,--,--,--,--,
1332508,255 lb,200 lb,155 lb,315 lb,--,--,--,--,--,22:04,--,--,
1310420,100 lb,72 lb,55 lb,110 kg,--,--,--,--,--,--,--,--,
906284,100 kg,80 kg,53 kg,120 kg,2:59,--,--,--,--,20:52,--,--,
1365788,--,--,--,--,--,--,--,--,--,--,--,--,
1252259,270 lb,155 lb,120 lb,325 lb,--,--,--,--,--,--,--,--,
447696,--,--,--,--,--,--,--,--,--,--,--,--,
1266036,--,--,--,--,--,--,--,--,--,--,--,--,
270917,330 lb,235 lb,185 lb,340 lb,2:37,--,--,--,--,--,--,40,
118058,125 kg,85 kg,68 kg,135 kg,3:40,2:19,8:33,--,1:25,22:29,275,25,--
73233,300 lb,220 lb,205 lb,345 lb,3:08,2:08,8:51,--,--,--,366,--,
1811683,235 lb,180 lb,130 lb,335 lb,--,--,--,--,--,--,--,--,
103786,305 lb,210 lb,140 lb,375 lb,4:43,--,--,--,--,--,--,30,
452867,305 lb,235 lb,165 lb,365 lb,2:21,--,--,--,--,--,--,--,
1232143,--,--,--,--,--,--,--,--,--,--,--,--,--
278688,225 lb,180 lb,150 lb,300 lb,3:00,--,11:27,--,--,--,316,3,
1702337,--,--,--,--,--,--,--,--,--,--,--,--,
168354,290 lb,205 lb,170 lb,300 lb,--,--,--,--,1:45,27:00,--,--,
1117647,275 lb,230 lb,160 lb,365 lb,--,--,--,--,--,--,--,--,
1547599,--,--,--,--,--,--,--,--,--,--,--,--,
1957249,--,--,--,--,--,--,--,--,--,--,--,--,
361511,250 lb,195 lb,155 lb,265 lb,2:49,--,--,--,--,--,--,35,
706340,--,85 kg,--,147 kg,--,--,8:40,--,--,23:36,--,--,--
1299259,--,--,--,--,--,--,--,--,--,--,316,--,
704789,--,--,--,--,--,--,--,--,--,--,--,17,
265062,60 kg,--,--,--,--,--,--,--,--,--,--,--,
17350,240 lb,200 lb,170 lb,340 lb,2:20,2:30,8:00,19:00,1:10,21:45,380,50,
670253,139 kg,101 kg,83 kg,143 kg,1:59,--,--,--,--,--,--,--,
361177,250 lb,175 lb,140 lb,275 lb,4:15,--,7:30,--,--,--,--,--,
1953392,--,--,--,--,--,--,--,--,--,--,--,--,
1956251,--,--,--,--,--,--,--,--,--,--,--,--,
422851,--,--,--,--,--,--,--,--,--,--,--,--,
1804227,--,--,--,--,--,--,--,--,--,--,--,--,
42053,225 lb,185 lb,150 lb,265 lb,4:35,3:15,9:12,21:00,1:05,24:00,285,30,
516529,295 lb,222 lb,165 lb,355 lb,4:28,1:38,9:24,19:26,1:18,21:44,--,28,
2072920,265 lb,--,--,275 lb,--,--,--,--,--,--,--,--,
477652,112 kg,85 kg,60 kg,130 kg,--,--,--,--,--,--,--,--,
1293572,120 kg,95 kg,65 kg,135 kg,3:56,--,--,--,1:05,23:30,--,--,
1757066,110 kg,89 kg,65 kg,135 kg,3:50,--,--,--,1:00,22:36,309,--,
670481,125 kg,95 kg,83 kg,140 kg,3:33,2:22,--,--,--,--,--,--,
51029,315 lb,235 lb,187 lb,345 lb,1:58,2:21,--,--,--,--,--,32,
4497,--,--,--,--,--,--,--,--,--,--,--,--,
481445,120 kg,100 kg,70 kg,155 kg,--,1:50,--,--,--,--,--,32,
1781439,--,--,--,--,--,--,--,--,--,--,--,--,
36755,235 lb,82 kg,76 kg,275 lb,--,--,--,--,--,--,--,--,
1215608,--,--,--,--,--,--,--,--,--,--,--,--,
938308,255 lb,205 lb,155 lb,265 lb,2:42,--,9:44,--,--,--,326,--,
129018,295 lb,225 lb,180 lb,340 lb,3:07,2:29,9:26,--,--,--,--,25,
1454437,--,--,--,--,--,--,--,--,--,--,--,--,
222729,240 lb,135 lb,115 lb,230 lb,--,--,--,--,--,--,--,--,
93588,245 lb,205 lb,180 lb,325 lb,2:56,3:23,--,20:57,1:30,23:00,--,33,
476088,128 kg,95 kg,75 kg,150 kg,3:19,1:25,8:45,--,--,--,--,45,
867967,--,--,--,--,--,--,--,--,--,--,--,--,
110777,285 lb,215 lb,170 lb,350 lb,3:13,3:11,--,--,--,--,320,33,
752973,--,--,--,--,--,--,--,--,--,18:33,--,--,
32406,--,--,--,--,--,--,--,--,--,--,--,--,
