CompetitorId,Back Squat,Clean and Jerk,Snatch,Deadlift,Fran,Grace,Helen,Filthy 50,Sprint 400m,Run 5k,Fight Gone Bad,Max Pull-ups,L1 Benchmark
1169638,--,--,--,--,--,--,--,--,--,--,--,--,
21556,140 kg,111 kg,75 kg,185 kg,--,--,--,--,--,--,--,--,
275801,300 lb,225 lb,180 lb,335 lb,--,--,--,--,--,--,--,--,
38909,322 lb,235 lb,185 lb,375 lb,2:02,--,--,--,--,--,--,85,
1110823,145 kg,100 kg,81 kg,--,--,1:46,--,--,--,--,--,--,
831149,125 kg,105 kg,85 kg,165 kg,--,--,--,--,--,--,--,--,
1972314,285 lb,225 lb,190 lb,325 lb,2:09,--,--,--,--,--,--,--,
152663,300 lb,242 lb,185 lb,358 lb,1:59,2:55,--,--,--,23:29,--,50,
469280,135 kg,107 kg,87 kg,150 kg,--,--,--,--,--,--,--,--,
1313021,--,--,--,--,--,--,--,--,--,--,--,--,
468509,132 kg,104 kg,84 kg,160 kg,--,1:33,--,--,--,21:00,--,--,
2013345,--,--,--,--,--,--,--,--,--,--,--,--,
913941,--,--,--,--,--,--,--,--,--,--,--,--,
908246,--,--,--,--,--,--,--,--,--,--,--,--,
651553,310 lb,245 lb,195 lb,405 lb,2:15,1:35,--,--,--,--,--,--,
1829668,--,--,--,--,--,--,--,--,--,--,--,--,
1687529,350 lb,225 lb,180 lb,385 lb,3:00,--,9:00,--,--,26:00,330,10,
469840,285 lb,235 lb,198 lb,325 lb,--,--,--,--,--,--,--,60,
729434,--,--,--,--,--,--,--,--,--,--,--,--,
733584,--,225 lb,175 lb,315 lb,--,--,--,--,--,--,--,--,--
208293,280 lb,227 lb,175 lb,342 lb,--,1:16,7:51,--,1:15,--,440,--,
914030,--,--,--,--,--,--,--,--,--,--,--,--,
670000,370 lb,270 lb,220 lb,420 lb,6:30,2:10,--,--,--,--,312,30,
1381546,--,--,--,--,--,--,--,--,--,--,--,--,
657874,--,--,--,--,--,--,--,--,--,--,--,--,
1402199,265 lb,225 lb,165 lb,375 lb,--,--,8:07,1:02,--,20:13,--,--,
1818022,--,--,--,--,--,--,--,--,--,--,--,--,
721551,--,--,--,--,--,--,--,--,--,--,--,--,
1380283,130 kg,102 kg,80 kg,148 kg,2:20,--,--,--,1:00,--,--,60,
1058374,--,--,--,--,--,--,--,--,--,--,--,--,
664900,--,--,--,--,--,--,--,--,--,--,--,--,
1742920,--,--,--,--,--,--,--,--,--,--,--,--,
313860,275 lb,222 lb,185 lb,355 lb,2:23,2:12,--,--,1:14,--,377,50,
891313,--,--,--,--,--,--,--,--,--,--,--,--,
567852,--,--,--,--,--,--,--,--,--,--,--,--,
121033,--,--,--,--,--,--,--,--,--,--,--,--,
510714,--,--,--,--,--,--,--,--,--,--,--,--,
115239,350 lb,250 lb,202 lb,375 lb,2:59,1:14,9:18,19:59,1:18,22:33,336,75,
742557,--,--,--,--,--,--,--,--,--,--,--,--,
645900,126 kg,104 kg,81 kg,155 kg,2:50,1:52,--,--,--,21:32,--,48,
2012971,--,--,--,--,--,--,--,--,--,--,--,--,
1316504,--,--,--,180 kg,--,--,--,--,--,--,--,--,
444303,--,--,--,--,--,--,--,--,--,--,--,--,
1353203,--,--,--,--,--,--,--,--,--,--,--,--,
521069,143 kg,115 kg,90 kg,165 kg,--,--,--,--,--,22:07,--,--,
535180,320 lb,230 lb,170 lb,345 lb,1:58,1:19,--,--,--,--,--,--,
452187,275 lb,220 lb,180 lb,340 lb,2:15,1:43,--,--,--,35:00,--,50,
1299203,--,--,--,--,--,--,--,--,--,--,--,--,
